state,area,population,date,type
California,ALL,39.6 million people,2020-03-19,Stay at home
Connecticut,ALL,3.6 million people,2020-03-23,Stay at home
Delaware,ALL,"973,000 people",2020-03-24,Shelter in place
Florida,Miami Beach,"92,000 people",2020-03-24,Stay at home
Illinois,ALL,12.7 million people,2020-03-21,Stay at home
Indiana,ALL,6.7 million people,2020-03-24,Stay at home
Louisiana,ALL,4.6 million people,2020-03-23,Stay at home
Massachusetts,ALL,6.9 million people,2020-03-24,Stay at home advisory
Michigan,ALL,10 million people,2020-03-24,Stay at home
Missouri,St. Louis County,1 million people,2020-03-23,Stay at home
Missouri,Kansas City,"492,000 people",2020-03-24,Stay at home
New Jersey,ALL,8.9 million people,2020-03-21,Stay at home
New Mexico,ALL,2.1 million people,2020-03-24,Stay at home
New York,ALL,19.5 million people,2020-03-22,Stay at home
Ohio,ALL,11.7 million people,2020-03-23,Stay at home
Oregon,ALL,4.2 million people,2020-03-23,Stay at home
Pennsylvania,Philadelphia County,1.6 million people,2020-03-23,Stay at home
Pennsylvania,Allegheny County,1.2 million people,2020-03-23,Stay at home
Pennsylvania,Bucks County,"628,000 people",2020-03-23,Stay at home
Pennsylvania,Chester County,"522,000 people",2020-03-23,Stay at home
Pennsylvania,Delaware County,"565,000 people",2020-03-23,Stay at home
Pennsylvania,Monroe County,"170,000 people",2020-03-23,Stay at home
Pennsylvania,Montgomery County,"829,000 people",2020-03-23,Stay at home
Texas,Dallas County,2.6 million people,2020-03-23,Shelter in place
Texas,San Antonio,1.5 million people,2020-03-23,Stay at home
Washington,ALL,7.5 million people,2020-03-23,Stay at home
West Virginia,ALL,1.8 million people,2020-03-24,Stay at home
Alaska,Anchorage,"292,000 people",2020-03-22,Stay at home
Colorado,Boulder,"107,000 people",2020-03-24,Stay at home
Colorado,Denver,"716,000 people",2020-03-24,Stay at home
Colorado,Archuleta County,"14,000 people",2020-03-23,Stay at home
Colorado,La Plata County,"56,000 people",2020-03-23,Stay at home
Colorado,Pitkin County,"18,000 people",2020-03-23,Stay at home
Florida,Miami,"471,000 people",2020-03-24,Shelter in place
Florida,Alachua County,"270,000 people",2020-03-24,Stay at home
Florida,Leon County,"293,000 people",2020-03-25,Stay at home
Florida,Orange County,1.4 million people,2020-03-26,Stay at home
Georgia,Atlanta,"498,000 people",2020-03-24,Stay at home
Georgia,Savannah,"146,000 people",2020-03-24,Shelter in place
Hawaii,ALL,1.4 million people,2020-03-25,Stay at home
Idaho,Blaine County,"23,000 people",2020-03-20,Shelter in place
Kansas,Douglas County,"121,000 people",2020-03-24,Stay at home
Kansas,Johnson County,"598,000 people",2020-03-24,Stay at home
Kansas,Leavenworth County,"81,000 people",2020-03-24,Stay at home
Kansas,Sedgwick County,"514,000 people",2020-03-25,Stay at home
Kansas,Wyandotte County,"165,000 people",2020-03-24,Stay at home
Mississippi,Oxford,"25,000 people",2020-03-22,Stay at home
Missouri,St. Louis,"303,000 people",2020-03-23,Stay at home
Missouri,Clay County,"246,000 people",2020-03-24,Stay at home
North Carolina,Mecklenburg County,1.1 million people,2020-03-26,Stay at home
Pennsylvania,Erie County,"272,000 people",2020-03-24,Stay at home
Tennessee,Franklin,"81,000 people",2020-03-25,Stay at home
Tennessee,Memphis,"651,000 people",2020-03-24,Stay at home
Tennessee,Davidson County,"693,000 people",2020-03-23,Stay at home
