state,area,county
Florida,Miami Beach,Miami-Dade County
Missouri,Kansas City,Jackson County
Texas,San Antonio,Bexar County
Alaska,Anchorage,Anchorage County
Colorado,Boulder,Boulder County
Colorado,Denver,Denver County
Florida,Miami,Miami-Dade County
Georgia,Atlanta,Fulton County
Georgia,Savannah,Chatham County
Mississippi,Oxford,Lafayette County
Missouri,St. Louis,Saint Louis County
Tennessee,Franklin,Williamson County
Tennessee,Memphis,Shelby County
Texas,Austin,Travis County
Alabama,Birmingham,Jefferson County
Georgia,Blakely,Early County
Georgia,Carrollton,Carroll County
Maine,Portland,Cumberland County
North Carolina,Durham,Durham County
Oklahoma,Norman,Cleveland County
South Carolina,Charleston,Charleston County
North Carolina,Clemmons,Forsyth County
North Carolina,Winston-Salem,Forsyth County
Missouri,St. Joseph,Buchanan County
Oklahoma,Oklahoma City,Oklahoma County
Oklahoma,Tulsa,Tulsa County
South Carolina,Columbia,Richland County
Texas,Amarillo,Potter County
Wyoming,Jackson,Teton County
Oklahoma,Edmond,Oklahoma County
Oklahoma,Stillwater,Payne County
Texas,Lubbock,Lubbock County
Georgia,Athens-Clarke County,Clarke County
North Carolina,Madison County,Rockingham County
Texas,Scurry County,Kaufman County
Texas,Hildalgo County,Hidalgo County
